"date","close","volume","open","high","low"
"Dec. ","N/A","0","N/A","N/A","N/A"
"2018/11/15","167.3690","0.0000","165.5320","167.4690","163.8870"
"2018/11/14","165.5330","0.0000","166.7050","168.5440","164.6270"
"2018/11/13","166.7060","0.0000","167.0000","168.9180","166.4290"
"2018/11/12","167.0010","0.0000","169.5550","169.5610","166.8310"
"2018/11/09","169.5580","0.0000","171.7150","171.7140","168.4560"
"2018/11/08","171.7160","0.0000","172.2260","172.3270","170.9340"
"2018/11/07","172.2260","0.0000","169.4160","172.4150","169.4160"
"2018/11/06","169.4120","0.0000","168.3010","169.6410","167.8290"
"2018/11/05","168.3030","0.0000","167.9020","169.0930","167.1630"
"2018/11/02","167.9060","0.0000","167.7500","168.9520","166.5180"
"2018/11/01","167.7520","0.0000","164.3580","168.0920","164.3580"
"2018/10/31","164.3590","0.0000","163.9430","165.8210","163.9430"
"2018/10/30","163.9420","0.0000","160.6980","164.0670","160.5940"
"2018/10/29","160.7010","0.0000","160.5490","164.1580","159.0590"
"2018/10/26","160.5490","0.0000","161.9730","162.3370","157.8330"
"2018/10/25","161.9730","0.0000","159.1290","162.8310","159.1290"
"2018/10/24","159.1310","0.0000","164.2960","164.4330","159.0340"
"2018/10/23","164.2970","0.0000","165.7360","165.7360","161.6110"
"2018/10/22","165.7360","0.0000","166.6490","167.3580","165.6370"
"2018/10/19","166.6560","0.0000","167.9460","168.9810","166.1720"
"2018/10/18","167.9460","0.0000","170.6680","170.6690","167.5870"
"2018/10/17","170.6720","0.0000","171.2490","171.2490","168.5900"
"2018/10/16","171.2490","0.0000","167.3190","171.3820","167.0490"
"2018/10/15","167.3210","0.0000","166.3020","168.3720","165.8920"
"2018/10/12","166.3050","0.0000","166.9100","169.0980","164.5550"
"2018/10/11","166.9100","0.0000","170.2470","170.5060","166.9010"
"2018/10/10","170.2450","0.0000","174.6890","174.6890","170.1720"
"2018/10/09","174.6890","0.0000","175.8140","176.1250","174.5530"
"2018/10/08","175.8170","0.0000","175.1620","176.1340","174.4850"
"2018/10/05","175.1580","0.0000","176.6600","184.1290","174.2170"
"2018/10/04","176.6550","0.0000","178.4140","178.4140","176.2860"
"2018/10/03","178.4140","0.0000","176.9230","179.1150","176.9230"
"2018/10/02","176.7700","0.0000","177.8680","178.3650","176.5170"
"2018/10/01","178.0210","0.0000","180.3190","181.0660","177.6470"
"2018/09/28","180.3210","0.0000","179.8770","180.7010","179.3920"
"2018/09/27","179.8780","0.0000","180.0610","180.8080","179.8210"
"2018/09/26","180.1130","0.0000","181.8730","182.0550","180.0300"
"2018/09/25","182.5250","0.0000","182.7280","183.1340","182.4700"
"2018/09/24","182.7280","0.0000","183.9540","183.9540","181.9690"
"2018/09/21","184.0620","0.0000","184.5120","185.1120","183.9180"
"2018/09/20","184.4110","0.0000","182.5800","184.4630","182.5800"
"2018/09/19","182.5810","0.0000","183.4130","184.2050","182.3640"
"2018/09/18","183.4140","0.0000","183.2780","183.8650","182.7960"
"2018/09/17","183.1090","0.0000","184.3030","184.3180","182.9650"
"2018/09/14","184.3060","0.0000","183.5340","184.7140","183.2500"
"2018/09/13","183.5350","0.0000","183.6250","184.3420","183.3090"
"2018/09/12","183.6260","0.0000","183.6240","183.9440","182.5500"
"2018/09/11","183.6250","0.0000","183.5820","184.1150","182.7870"
"2018/09/10","183.5830","0.0000","183.0850","184.2120","183.0850"
"2018/09/07","183.0890","0.0000","183.7520","184.0710","182.6680"
"2018/09/06","183.7530","0.0000","184.9350","185.4190","183.7400"
"2018/09/05","184.9360","0.0000","184.9340","185.2440","183.7100"
"2018/09/04","184.9290","0.0000","186.0550","186.0550","184.0800"
"2018/08/31","186.0650","0.0000","185.4880","186.2770","184.9070"
"2018/08/30","185.4890","0.0000","185.9690","186.4030","185.2450"
"2018/08/29","185.9700","0.0000","185.5280","186.2210","184.9160"
"2018/08/28","185.5290","0.0000","185.5050","186.1390","184.9400"
"2018/08/27","185.5060","0.0000","185.0830","186.5160","185.0830"
"2018/08/24","185.0870","0.0000","184.5700","185.2390","184.5700"
"2018/08/23","184.5710","0.0000","185.5470","185.5470","184.3750"
"2018/08/22","185.5550","0.0000","185.9000","185.9830","185.2420"
"2018/08/21","185.9010","0.0000","184.1650","186.3780","184.1650"
"2018/08/20","185.0220","0.0000","184.3820","185.3010","184.3150"
"2018/08/17","183.5280","0.0000","182.5040","183.6550","182.0510"
"2018/08/16","182.5050","0.0000","180.6650","183.1280","180.6650"
"2018/08/15","180.6600","0.0000","182.5530","182.5530","179.8270"
